Transaction, Victim Sender, Victim Receiver, Attacked Contract, Attacked Function, Error
0x0f76114046b29641a23a791eb7cdd2c5fbef55fd9462d8875f5490851740f0ae, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xbd6a40bb904aea5a49c59050b5395f7484a4203d, createSalary, 
0xf9d7731767f92851be27042b7a962c3f2598b03d7e63e29704e1346870b91d11, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d, redeem, 
0x4560ab0753783d0fc62614d81cbfd21f15342f7c4dc6e54ef69e298c5079b5e1, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForTokens, 
0x6b48c841c74a208fc12665e9cf7a86a0d0c84f0c30f48fe8d3b7a5e407bc73fe, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x0d6f225e97579d5f2d5e7fd4cd9229d83aebd8e5a76b22a9f498ffeebd0e8922, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x2936abd69187973aba02d2d8137d9f3e05f463f8d5fbbc876dc0f4a37ece16ca, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0xe681dc72ca6756aec8f32f024ac0f1448270a9df6a17d33495a03cc39156088c, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, execute, Failed to get attacked function from relayed transaction
0xe5d172acf4776cce5a1d022cdfd4485598af561251563de98ed6a539b5ff5290, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, execute, Failed to get attacked function from relayed transaction
0x14ac1976df9e10207c48d0e6ab7ace6a2139eeba595a866565403ac52f0f1085, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0xf0de16a170a035893811d785bfa19c9fa8c7715fd24b95a858711d81753f302a, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x208c8464ba2e7b44d7efd1d2d1f3cb922b8c774bb54bf5511aa368b72573ed02, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7a250d5630b4cf539739df2c5dacb4c659f2488d, swapExactTokensForETH, 
0x54c361b9c2250a7695b94f4f33fa592cf69a7639e0888639fada301b62411a2d, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x11111254369792b2ca5d084ab5eea397ca8fa48b, swap, 
0x6333bf43ec0fd0fa04459fc70b2da2f9b1f2a24351f2f1a2ed9f491923dcfece, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x7deb5e830be29f91e298ba5ff1356bb7f8146998, redeem, 
0xa59572ce29f0e2485de99e69e1427b7a7a3e5e986ba0fc8b36c9dfef902d2f4d, 0x4d953115678b15ce0b0396bcf95db68003f86fb5, 0x73ba475ad143cadc290ec8a7061a3fd19013b6dc, 0x34cfac646f301356faa8b21e94227e3583fe3f5f, execTransaction, 
0xd2d956275a0da4aaecfed9efc516c9e387ef924d905fb78e4de9453310ac747b, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x11111254369792b2ca5d084ab5eea397ca8fa48b, swap, 
0xad8ade630943820e2fcc7d1680c02f14b0af2cf9bd5bf9bf980713416faac0fb, 0x0385b3f162a0e001b60ecb84d3cb06199d78f666, 0x2b6d87f12b106e1d3fa7137494751566329d1045, 0x82ecd135dce65fbc6dbdd0e4237e0af93ffd5038, safeLockETH, 
0x4f63f5bea9e4162b842c361a0c8ed01056c271da31779e53018bd75059311ce1, 0xf27696c8bca7d54d696189085ae1283f59342fa6, 0x67933cccf3f6b40148271f5e7b5408fd1d5b2837, 0x944644ea989ec64c2ab9ef341d383cef586a5777, execute, Failed to get attacked function from relayed transaction
0xf4e7390af8782f02f699fb96e1a7fc75af3fcd489b7dc48e4dbe3dfa2491b596, 0xdd5a1c148ca114af2f4ebc639ce21fed4730a608, 0x103675510a219bd84ce91d1bcb82ca194d665a09, 0x9ba00d6856a4edf4665bca2c2309936572473b7e, redeem, 
