Transaction, Token Contract, Token Address
0x48a991fc5809754ac3712e27246b1e853285f1a809ff7f877b149dcdeea1e9e9, 0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c, Bancor (BNT)
0xf3be6c176883d9c3e4d07b86d4912886239ce947c2352c19d58029de47ae29ba, 0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f, Synthetix Network Token (SNX)
0x061d3c5d7478a0013380d141d830527fb2365db30dba138929802b7c4805c918, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x83dad2836aedce38252dfe81aeaad22926a342b6400b2f91375a54481a35854d, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x59b8ca38186dd21c150bdfaacaed0c96905b2f8cbad48f6d7506d1b1feafcab3, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xe83bd09786cb7ff3c32d973ed39980daba658e1abcb8fcf89e67ef258f498cf8, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xbfdf4054f5831aa18ddb05a43c9227f6e9ba7613f98f0ba3e1735153b0bb5a2f, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0xca2ccd381652ff44184b5b3adea84cb206743b85b2d95d268392e4a3c3393135, 0xbbbbca6a901c926f240b89eacb641d8aec7aeafd, LoopringCoin V2 (LRC)
0x2e07dedf46d78e354fe91205f27c4522ffc72d8ab68e2914410f895d9b09dff8, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0x2e07dedf46d78e354fe91205f27c4522ffc72d8ab68e2914410f895d9b09dff8, 0xeb4c2781e4eba804ce9a9803c67d0893436bb27d, renBTC (renBTC)
0xd80631adfbbcb1c211f48b53ba8d604e77b704f3b5c03a70d90d5d1569bfd855, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xb7d60d6aa93feed7d4795e54f228a15a12b0ef7c311bff310815b9655e636071, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xf4205981c8ed73bcdf4e5d3efbe429c02629aa99727a69fe6f7cf7fd6f9d9bae, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xf4205981c8ed73bcdf4e5d3efbe429c02629aa99727a69fe6f7cf7fd6f9d9bae, 0x57ab1ec28d129707052df4df418d58a2d46d5f51, Synth sUSD (sUSD)
0xd59491aec753d5d12eedef09886aac92323cddd23b5e0c9fd9ba1e66ad9e367b, 0x178c820f862b14f316509ec36b13123da19a6054, Energy Web Token Bridged (EWTB)
0x87dfcbc392159c9102093b9fce838b4733d8dddca8328a0e77fae7edb2e19fd0, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x906d5a67a4eec559f0324bcfd2ffe65c94ea1589ae0f9773596ea4f5180e7a43, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xf58b8dcf3d356f156cf8f691d3323a36a4f341a08ae3f18f10143556b7733500, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xf58b8dcf3d356f156cf8f691d3323a36a4f341a08ae3f18f10143556b7733500, 0xba100000625a3754423978a60c9317c58a424e3d, Balancer (BAL)
0x931a72776a1b611630c4b088f2ec02859b606cd29f42118d019115dbd5454285, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x931a72776a1b611630c4b088f2ec02859b606cd29f42118d019115dbd5454285, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x3525b45e5bfbffe6210cee609750b56ce1977dd0f282bbae3b422b87c392b756, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x3525b45e5bfbffe6210cee609750b56ce1977dd0f282bbae3b422b87c392b756, 0x57ab1ec28d129707052df4df418d58a2d46d5f51, Synth sUSD (sUSD)
0xf405ca3fdd97d6ca8ebd430ff9cb26f5e077ae6a7079e9d164a627a385e352a0, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x156c808ff1880887f8d753d7a66f8f80036bddc328f74189ee379c698eff80d6, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xc1f7acd0f5a0679c8a4cf7abcd75ad60d4148302a3c85e3ba51399f811812696, 0x178c820f862b14f316509ec36b13123da19a6054, Energy Web Token Bridged (EWTB)
0x6d6886ba170040ea7d8cdd6bfe54e9d2c0c3af1738b12db7a70f5d41c912a463, 0x178c820f862b14f316509ec36b13123da19a6054, Energy Web Token Bridged (EWTB)
0x5e9a5c0abdad91ee833fcb669339e09c79727624b675bfefa984a7a72c55ef08, 0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f, Synthetix Network Token (SNX)
0xe4d9a91862a85bcdbd40775c69be953ee20ddcede7a8d58c658802a3f1b07367, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x365413b5b838af8cdf286600c7efd804b685195022ae668e5fdba0a977862721, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
